N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,10,28,2.1744444444444446,2.0
100,2,9,21,2.2893939393939395,2.0
100,3,8,23,2.200707070707071,2.0
100,4,7,18,2.2355555555555555,2.0
100,5,9,20,2.1124242424242423,2.0
100,6,8,18,2.2555555555555555,2.0
100,7,8,20,2.1606060606060606,2.0
100,8,9,23,2.140909090909091,2.0
100,9,8,18,2.26989898989899,2.0
100,10,7,20,2.3254545454545457,2.0
100,11,8,20,2.153737373737374,2.0
100,12,9,19,2.2137373737373736,2.0
100,13,10,31,2.139393939393939,2.0
100,14,9,24,2.144747474747475,2.0
100,15,10,31,2.1274747474747473,2.0
100,16,8,21,2.1752525252525254,2.0
100,17,7,20,2.214949494949495,2.0
100,18,8,21,2.282828282828283,2.0
100,19,9,28,2.1365656565656566,2.0
100,20,9,20,2.1373737373737374,2.0
100,21,7,17,2.103030303030303,2.0
100,22,7,18,2.284242424242424,3.0
100,23,9,24,2.2053535353535354,2.0
100,24,9,30,2.2445454545454546,2.0
100,25,8,24,2.1506060606060604,2.0
100,26,9,22,2.243737373737374,2.0
100,27,9,22,2.191919191919192,2.0
100,28,9,21,2.214040404040404,2.0
100,29,11,29,2.2049494949494948,2.0
100,30,12,34,2.2214141414141415,2.0
100,31,7,19,2.2626262626262625,3.0
100,32,9,26,2.160808080808081,2.0
100,33,9,18,2.255757575757576,2.0
100,34,9,21,2.216161616161616,2.0
100,35,7,20,2.284646464646465,2.0
100,36,9,18,2.1654545454545455,2.0
100,37,8,21,2.2483838383838384,2.0
100,38,8,23,2.3485858585858588,2.0
100,39,8,25,2.1801010101010103,2.0
100,40,7,18,2.1729292929292927,2.0
100,41,9,22,2.2707070707070707,2.0
100,42,9,26,2.2473737373737372,2.0
100,43,8,20,2.3595959595959597,2.0
100,44,9,25,2.31010101010101,2.0
100,45,9,19,2.199292929292929,2.0
100,46,8,21,2.1455555555555557,2.0
100,47,10,27,2.122121212121212,2.0
100,48,7,16,2.2145454545454544,2.0
100,49,10,25,2.156767676767677,2.0
100,50,9,23,2.1274747474747473,2.0
100,51,8,24,2.275252525252525,2.0
100,52,8,19,2.038686868686869,2.0
100,53,8,24,2.083131313131313,2.0
100,54,10,25,2.1258585858585857,2.0
100,55,11,27,2.296161616161616,2.0
100,56,9,23,2.0323232323232325,2.0
100,57,9,22,2.2195959595959596,2.0
100,58,8,23,2.144747474747475,2.0
100,59,8,20,2.1907070707070706,2.0
100,60,8,24,2.1981818181818182,2.0
100,61,8,19,2.313939393939394,2.0
100,62,8,20,2.215757575757576,2.0
