N,Case,BDS Size,SCBDS Size,ARPL,Max Ratio
100,1,10,43,2.145656565656566,2.0
100,2,9,39,2.256767676767677,2.0
100,3,8,40,2.1815151515151516,2.0
100,4,7,25,2.2264646464646463,2.0
100,5,9,35,2.097777777777778,2.0
100,6,8,29,2.23979797979798,2.0
100,7,8,34,2.13979797979798,2.0
100,8,9,37,2.121717171717172,2.0
100,9,8,32,2.2453535353535354,2.0
100,10,7,27,2.308686868686869,2.0
100,11,8,39,2.115858585858586,2.0
100,12,9,35,2.188787878787879,2.0
100,13,10,44,2.1174747474747475,2.0
100,14,9,36,2.1262626262626263,2.0
100,15,10,53,2.0924242424242423,2.0
100,16,8,31,2.162020202020202,2.0
100,17,7,31,2.1924242424242424,2.0
100,18,8,29,2.26989898989899,2.0
100,19,9,45,2.114141414141414,2.0
100,20,9,24,2.1321212121212123,2.0
100,21,7,28,2.0942424242424242,2.0
100,22,7,39,2.25,3.0
100,23,9,40,2.1876767676767677,2.0
100,24,9,45,2.211818181818182,2.0
100,25,8,36,2.1345454545454547,2.0
100,26,9,32,2.2271717171717174,2.0
100,27,9,38,2.1766666666666667,2.0
100,28,9,43,2.173939393939394,2.0
100,29,11,48,2.1751515151515153,2.0
100,30,12,61,2.177979797979798,2.0
100,31,7,29,2.2434343434343433,3.0
100,32,9,40,2.146969696969697,2.0
100,33,9,36,2.226868686868687,2.0
100,34,9,35,2.203333333333333,2.0
100,35,7,31,2.255252525252525,2.0
100,36,9,32,2.1453535353535353,2.0
100,37,8,38,2.23,2.0
100,38,8,37,2.311111111111111,2.0
100,39,8,37,2.1624242424242426,2.0
100,40,7,31,2.1533333333333333,2.0
100,41,9,40,2.234141414141414,2.0
100,42,9,41,2.222929292929293,2.0
100,43,8,26,2.353838383838384,2.0
100,44,9,37,2.2814141414141416,2.0
100,45,9,30,2.183838383838384,2.0
100,46,8,40,2.1193939393939396,2.0
100,47,10,48,2.096262626262626,2.0
100,48,7,26,2.2045454545454546,2.0
100,49,10,39,2.1352525252525254,2.0
100,50,9,36,2.1104040404040405,2.0
100,51,8,44,2.2320202020202022,2.0
100,52,8,30,2.0282828282828285,2.0
100,53,8,36,2.0685858585858585,2.0
100,54,10,40,2.1005050505050504,2.0
100,55,11,45,2.261919191919192,2.0
100,56,9,41,2.003131313131313,2.0
100,57,9,34,2.1955555555555555,2.0
100,58,8,36,2.118888888888889,2.0
100,59,8,34,2.1785858585858584,2.0
100,60,8,34,2.173636363636364,2.0
100,61,8,34,2.290808080808081,2.0
100,62,8,37,2.1938383838383837,2.0
100,63,8,31,2.164040404040404,2.0
100,64,8,30,2.088989898989899,2.0
100,65,9,43,2.321818181818182,2.0
100,66,9,40,2.2390909090909092,2.0
100,67,9,43,2.1633333333333336,2.0
100,68,8,35,2.223838383838384,2.0
100,69,8,37,2.0778787878787877,2.0
100,70,10,43,2.2324242424242424,2.0
100,71,9,41,2.175353535353535,2.0
100,72,10,46,2.2857575757575757,2.0
100,73,8,35,2.1858585858585857,2.0
100,74,8,35,2.1715151515151514,2.0
100,75,9,39,2.104040404040404,2.0
100,76,11,53,2.1981818181818182,2.0
100,77,10,48,2.26010101010101,2.0
100,78,8,35,2.2670707070707072,2.0
100,79,8,37,2.2387878787878788,2.0
100,80,8,40,2.0684848484848484,2.0
100,81,8,39,2.1826262626262625,2.0
100,82,11,54,2.1564646464646464,2.0
100,83,10,50,2.251919191919192,2.0
100,84,9,33,2.0316161616161614,2.0
100,85,8,35,2.165252525252525,2.0
100,86,8,37,2.2246464646464648,2.0
100,87,9,43,2.112727272727273,2.0
100,88,7,25,2.048989898989899,2.0
100,89,8,28,2.2129292929292927,2.0
100,90,9,37,2.3052525252525253,2.0
100,91,11,49,2.268989898989899,2.0
100,92,8,35,2.144242424242424,2.0
100,93,7,34,2.0042424242424244,2.0
100,94,8,39,2.1778787878787877,2.0
100,95,9,34,2.2226262626262625,2.0
100,96,8,38,2.1028282828282827,2.0
100,97,9,41,2.3487878787878786,2.0
100,98,7,33,2.159090909090909,2.0
100,99,9,34,2.216969696969697,2.0
100,100,10,53,2.1103030303030303,2.0
150,1,11,58,2.119149888143177,2.0
